District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
CO-07,Ed Perlmutter,(D),"263,442","163,104","439,307",60.0%,37.1%
CT-01,John Larson,(D),"229,220","127,803","362,392",63.3%,35.3%
CT-02,Joe Courtney,(D),"205,779","164,461","377,818",54.5%,43.5%
CT-03,Rosa DeLauro,(D),"212,317","137,580","354,399",59.9%,38.8%
CT-04,Jim Himes,(D),"237,245","127,566","369,791",64.2%,34.5%
CT-05,Jahana Hayes,(D),"196,119","157,881","359,336",54.6%,43.9%
DE-AL,Lisa Blunt Rochester,(D),"296,268","200,603","504,010",58.8%,39.8%
FL-01,Matt Gaetz,(R),"143,654","292,019","443,097",32.4%,65.9%
FL-02,Neal Dunn,(R),"125,746","263,499","393,088",32.0%,67.0%
FL-03,Kat Cammack,(R),"170,433","223,087","398,282",42.8%,56.0%
FL-04,John Rutherford,(R),"198,414","305,935","510,715",38.9%,59.9%
FL-05,Al Lawson,(D),"214,891","123,978","342,746",62.7%,36.2%
FL-06,Michael Waltz,(R),"184,607","263,644","452,468",40.8%,58.3%
FL-07,Stephanie Murphy,(D),"226,505","183,414","414,920",54.6%,44.2%
FL-08,Bill Posey,(R),"189,808","272,109","467,055",40.6%,58.3%
FL-09,Darren Soto,(D),"232,318","201,924","438,440",53.0%,46.1%
FL-10,Val Demings,(D),"236,868","141,377","381,930",62.0%,37.0%
FL-11,Daniel Webster,(R),"164,285","318,054","485,989",33.8%,65.4%
FL-12,Gus Bilirakis,(R),"188,631","266,291","459,697",41.0%,57.9%
FL-13,[VACANT],(D),"211,530","194,721","410,780",51.5%,47.4%
FL-14,Kathy Castor,(D),"217,176","158,027","379,538",57.2%,41.6%
FL-15,Scott Franklin,(R),"179,793","213,736","398,200",45.2%,53.7%
FL-16,Vern Buchanan,(R),"223,366","262,840","490,589",45.5%,53.6%
FL-17,Greg Steube,(R),"151,888","267,579","422,675",35.9%,63.3%
FL-18,Brian Mast,(R),"206,388","244,705","454,097",45.5%,53.9%
FL-19,Byron Donalds,(R),"180,723","272,764","456,659",39.6%,59.7%
FL-20,Sheila Cherfilus-McCormick,(D),"254,644","72,814","329,313",77.3%,22.1%
FL-21,Lois Frankel,(D),"239,322","169,556","411,406",58.2%,41.2%
FL-22,[VACANT],(D),"236,393","174,889","413,647",57.1%,42.3%
FL-23,Debbie Wasserman Schultz,(D),"227,941","161,030","391,205",58.3%,41.2%
FL-24,Frederica Wilson,(D),"225,289","71,621","298,628",75.4%,24.0%
FL-25,Mario Díaz-Balart,(R),"123,435","197,678","322,843",38.2%,61.2%
FL-26,Carlos Giménez,(R),"164,356","184,019","350,423",46.9%,52.5%
FL-27,Maria Elvira Salazar,(R),"178,643","167,420","347,972",51.3%,48.1%
GA-01,Buddy Carter,(R),"143,567","184,846","332,905",43.1%,55.5%
GA-02,Sanford Bishop,(D),"154,980","120,719","278,056",55.7%,43.4%
GA-03,Drew Ferguson,(R),"140,226","235,998","380,895",36.8%,62.0%
GA-04,Hank Johnson,(D),"281,735","72,392","357,719",78.8%,20.2%
GA-05,Nikema Williams,(D),"313,058","45,921","363,156",86.2%,12.6%
GA-06,Lucy McBath,(D),"219,611","175,110","400,936",54.8%,43.7%
GA-07,Carolyn Bourdeaux,(D),"199,144","175,210","379,758",52.4%,46.1%
GA-08,Austin Scott,(R),"116,914","195,867","316,121",37.0%,62.0%
GA-09,Andrew Clyde,(R),"85,481","291,992","382,279",22.4%,76.4%
GA-10,Jody Hice,(R),"151,656","230,789","387,273",39.2%,59.6%
GA-11,Barry Loudermilk,(R),"171,653","234,930","413,230",41.5%,56.9%
GA-12,Rick Allen,(R),"136,638","177,142","317,584",43.0%,55.8%
GA-13,David Scott,(D),"277,999","85,930","367,810",75.6%,23.4%
GA-14,Marjorie Greene,(R),"80,973","235,008","319,995",25.3%,73.4%
HI-01,Ed Case,(D),"179,337","96,924","280,956",63.8%,34.5%
HI-02,Kai Kahele,(D),"186,793","99,940","293,513",63.6%,34.0%
IA-01,Ashley Hinson,(R),"199,259","213,601","420,577",47.4%,50.8%
IA-02,Mariannette Miller-Meeks,(R),"193,437","209,858","410,665",47.1%,51.1%
IA-03,Cindy Axne,(D),"224,159","224,726","457,240",49.0%,49.1%
IA-04,Randy Feenstra,(R),"142,206","249,487","398,052",35.7%,62.7%
ID-01,Russ Fulcher,(R),"140,452","313,559","467,141",30.1%,67.1%
ID-02,Mike Simpson,(R),"146,569","240,560","400,220",36.6%,60.1%
IL-01,Bobby Rush,(D),"246,996","82,547","334,163",73.9%,24.7%
IL-02,Robin Kelly,(D),"236,646","64,866","305,536",77.5%,21.2%
IL-03,Marie Newman,(D),"175,910","135,879","316,987",55.5%,42.9%
IL-04,Chuy Garcia,(D),"184,635","39,582","228,702",80.7%,17.3%
IL-05,Mike Quigley,(D),"267,640","96,630","371,134",72.1%,26.0%
IL-06,Sean Casten,(D),"226,804","174,833","410,398",55.3%,42.6%
IL-07,Danny Davis,(D),"274,302","38,441","317,704",86.3%,12.1%
IL-08,Raja Krishnamoorthi,(D),"171,850","113,157","290,456",59.2%,39.0%
IL-09,Jan Schakowsky,(D),"269,573","104,091","379,942",71.0%,27.4%
IL-10,Brad Schneider,(D),"207,380","109,734","322,791",64.2%,34.0%
IL-11,Bill Foster,(D),"195,556","114,240","316,000",61.9%,36.2%
IL-12,Mike Bost,(R),"137,911","184,811","329,203",41.9%,56.1%
IL-13,Rodney Davis,(R),"158,853","170,549","337,716",47.0%,50.5%
IL-14,Lauren Underwood,(D),"203,738","193,886","406,028",50.2%,47.8%
IL-15,Mary Miller,(R),"88,678","246,921","341,922",25.9%,72.2%
IL-16,Adam Kinzinger,(R),"140,938","196,244","344,643",40.9%,56.9%
IL-17,Cheri Bustos,(D),"145,977","150,775","303,222",48.1%,49.7%
IL-18,Darin LaHood,(R),"138,526","229,704","376,890",36.8%,60.9%
IN-01,Frank Mrvan,(D),"177,630","148,554","331,492",53.6%,44.8%
IN-02,[VACANT],(R),"116,794","178,385","300,581",38.9%,59.3%
IN-03,Jim Banks,(R),"112,346","211,169","330,719",34.0%,63.9%
IN-04,Jim Baird,(R),"117,232","220,013","345,009",34.0%,63.8%
