District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
SC-07,Tom Rice,(R),"146,768","214,709","365,085",40.2%,58.8%
SD-AL,Dusty Johnson,(R),"150,471","261,043","422,609",35.6%,61.8%
TN-01,Diana Harshbarger,(R),"70,463","242,686","318,556",22.1%,76.2%
TN-02,Tim Burchett,(R),"124,229","228,990","360,121",34.5%,63.6%
TN-03,Chuck Fleischmann,(R),"110,460","219,247","335,599",32.9%,65.3%
TN-04,Scott DesJarlais,(R),"108,734","239,401","354,562",30.7%,67.5%
TN-05,Jim Cooper,(D),"210,086","127,953","348,420",60.3%,36.7%
TN-06,John Rose,(R),"96,446","273,924","376,800",25.6%,72.7%
TN-07,Mark Green,(R),"115,166","245,882","367,606",31.3%,66.9%
TN-08,David Kustoff,(R),"114,528","225,471","344,842",33.2%,65.4%
TN-09,Steve Cohen,(D),"193,598","48,921","246,484",78.5%,19.8%
TX-01,Louie Gohmert,(R),"83,229","218,700","305,555",27.2%,71.6%
TX-02,Dan Crenshaw,(R),"170,430","174,980","350,446",48.6%,49.9%
TX-03,Van Taylor,(R),"209,859","214,359","430,583",48.7%,49.8%
TX-04,Pat Fallon,(R),"84,680","258,470","347,229",24.4%,74.4%
TX-05,Lance Gooden,(R),"107,494","172,395","283,292",37.9%,60.9%
TX-06,Jake Ellzey,(R),"164,746","175,101","344,549",47.8%,50.8%
TX-07,Lizzie Fletcher,(D),"170,060","143,176","317,555",53.6%,45.1%
TX-08,Kevin Brady,(R),"109,291","274,224","388,622",28.1%,70.6%
TX-09,Al Green,(D),"178,908","54,944","236,216",75.7%,23.3%
TX-10,Michael McCaul,(R),"203,975","210,770","421,154",48.4%,50.0%
TX-11,August Pfluger,(R),"58,592","235,697","297,883",19.7%,79.1%
TX-12,Kay Granger,(R),"140,683","224,490","371,220",37.9%,60.5%
TX-13,Ronny Jackson,(R),"54,002","219,888","277,737",19.4%,79.2%
TX-14,Randy Weber,(R),"124,630","185,961","314,976",39.6%,59.0%
TX-15,Vicente González,(D),"119,784","115,315","237,674",50.4%,48.5%
TX-16,Veronica Escobar,(D),"160,809","77,473","242,067",66.4%,32.0%
TX-17,Pete Sessions,(R),"137,632","172,342","315,612",43.6%,54.6%
TX-18,Sheila Jackson Lee,(D),"189,823","57,669","250,836",75.7%,23.0%
TX-19,Jodey Arrington,(R),"71,237","195,515","270,656",26.3%,72.2%
TX-20,Joaquin Castro,(D),"177,058","96,537","277,918",63.7%,34.7%
TX-21,Chip Roy,(R),"220,567","232,945","460,677",47.9%,50.6%
TX-22,Troy Nehls,(R),"206,114","210,011","421,488",48.9%,49.8%
TX-23,Tony Gonzales,(R),"146,559","151,964","302,412",48.5%,50.3%
TX-24,Beth Van Duyne,(R),"180,609","161,671","347,697",51.9%,46.5%
TX-25,Roger Williams,(R),"177,852","216,265","400,230",44.4%,54.0%
TX-26,Michael Burgess,(R),"185,956","248,196","441,183",42.1%,56.3%
TX-27,Michael Cloud,(R),"104,511","170,800","278,915",37.5%,61.2%
TX-28,Henry Cuellar,(D),"125,755","115,160","243,744",51.6%,47.2%
TX-29,Sylvia Garcia,(D),"106,229","52,937","161,080",65.9%,32.9%
TX-30,Eddie Bernice Johnson,(D),"212,373","50,270","266,014",79.8%,18.9%
TX-31,John Carter,(R),"192,599","204,096","404,642",47.6%,50.4%
TX-32,Colin Allred,(D),"187,919","151,944","345,210",54.4%,44.0%
TX-33,Marc Veasey,(D),"117,340","41,209","160,757",73.0%,25.6%
TX-34,Mayra Flores,(D),"106,771","98,462","207,201",51.5%,47.5%
TX-35,Lloyd Doggett,(D),"188,169","84,811","277,929",67.7%,30.5%
TX-36,Brian Babin,(R),"82,881","221,600","308,153",26.9%,71.9%
UT-01,Blake Moore,(R),"113,343","230,314","358,818",31.6%,64.2%
UT-02,Chris Stewart,(R),"148,890","207,667","370,162",40.2%,56.1%
UT-03,John Curtis,(R),"131,845","225,830","374,671",35.2%,60.3%
UT-04,Burgess Owens,(R),"166,204","201,329","384,026",43.3%,52.4%
VA-01,Rob Wittman,(R),"213,535","233,398","453,853",47.0%,51.4%
VA-02,Elaine Luria,(D),"186,427","169,365","362,346",51.4%,46.7%
VA-03,Bobby Scott,(D),"233,646","108,728","347,932",67.2%,31.2%
VA-04,Donald McEachin,(D),"246,583","146,900","398,796",61.8%,36.8%
VA-05,Bob Good,(R),"183,175","217,535","405,973",45.1%,53.6%
VA-06,Ben Cline,(R),"149,254","231,248","386,961",38.6%,59.8%
VA-07,Abigail Spanberger,(D),"228,335","223,268","458,367",49.8%,48.7%
VA-08,Don Beyer,(D),"311,470","84,711","401,441",77.6%,21.1%
VA-09,Morgan Griffith,(R),"98,653","244,996","347,822",28.4%,70.4%
VA-10,Jennifer Wexton,(D),"281,817","189,376","478,159",58.9%,39.6%
VA-11,Gerry Connolly,(D),"280,673","112,905","399,109",70.3%,28.3%
VT-AL,Peter Welch,(D),"242,820","112,704","365,486",66.4%,30.8%
WA-01,Suzan DelBene,(D),"257,631","166,460","435,779",59.1%,38.2%
WA-02,Rick Larsen,(D),"257,291","145,138","414,020",62.1%,35.1%
WA-03,Jaime Herrera Beutler,(R),"198,429","214,391","423,462",46.9%,50.6%
WA-04,Dan Newhouse,(R),"122,691","179,022","309,502",39.6%,57.8%
WA-05,Cathy McMorris Rodgers,(R),"178,895","215,706","406,614",44.0%,53.0%
WA-06,Derek Kilmer,(D),"244,141","168,250","425,315",57.4%,39.6%
WA-07,Pramila Jayapal,(D),"410,067","58,832","478,306",85.7%,12.3%
WA-08,Kim Schrier,(D),"218,274","190,801","419,669",52.0%,45.5%
WA-09,Adam Smith,(D),"265,393","88,993","361,921",73.3%,24.6%
WA-10,Marilyn Strickland,(D),"216,800","157,058","385,791",56.2%,40.7%
WI-01,Bryan Steil,(R),"182,942","220,668","409,363",44.7%,53.9%
WI-02,Mark Pocan,(D),"323,807","136,439","466,777",69.4%,29.2%
WI-03,Ron Kind,(D),"184,306","202,659","393,809",46.8%,51.5%
WI-04,Gwen Moore,(D),"242,263","71,833","317,863",76.2%,22.6%
WI-05,Scott Fitzgerald,(R),"187,851","255,803","450,097",41.7%,56.8%
WI-06,Glenn Grothman,(R),"170,457","232,820","409,886",41.6%,56.8%
WI-07,Tom Tiffany,(R),"165,104","248,822","420,340",39.3%,59.2%
WI-08,Mike Gallagher,(R),"174,136","241,140","421,811",41.3%,57.2%
WV-01,David McKinley,(R),"81,849","183,904","270,510",30.3%,68.0%
WV-02,Alex Mooney,(R),"92,623","184,784","282,556",32.8%,65.4%
WV-03,Carol Miller,(R),"61,512","176,694","241,586",25.5%,73.1%
WY-AL,Liz Cheney,(R),"73,491","193,559","275,026",26.7%,70.4%
